F1
36413.33
36045.33
36309.33
36205.33
36597.33
37005.33
36917.33
37093.33
37357.33
37677.33
38509.33
38301.33
38629.33
39077.33
39645.33
40749.33
41549.33
41749.33
43589.33
44880
45936
47584
47856
50096
51488
53728
54560
56880
58704
61248
62416
63872
65600
66960
69008
70304
70912
71120
71600
73024
73456
73536
72768
72384
73616
72224
72400
72592
71232
70688
70288
69824
69792
68784
68688
67536
66816
65328
63712
62640
61344
60752
59904
59616
59392
59312
59072
59552
59440
59360
59968
59408
59200
59200
58640
59200
58720
